Property Address,Property Name,Number Of Units,Star Rating,Building Class,PropertyType,Secondary Type,Affordable Type,Building Status,Market Name,Submarket Name,City,State,Zip,Avg Unit SF,Avg Asking/SF,Avg Asking/Unit,For Sale Price,Cap Rate,$Price/Unit,Sale Company Name,Sale Company Address,Sale Company City State Zip,Sale Company Phone,Sale Company Fax,Sale Company Contact,Vacancy %,Month Built,Year Built,Year Renovated,Number Of Stories,Total Buildings,Rent Type,Property Manager Name,Property Manager Contact,Property Manager Phone,PropertyID,Owner Contact,Owner Name,Number Of Parking Spaces,County Name,Amenities,Number Of 1 Bedrooms Units,Number Of 2 Bedrooms Units,Number Of 3 Bedrooms Units,Number Of 4 Bedrooms Units,Number Of Studios Units,Number Of Elevators,Operational Status,Latitude,Longitude,Four Bedroom Vacancy %,One Bedroom Vacancy %,Studio Vacancy %,Three Bedroom Vacancy %,Two Bedroom Vacancy %
402 S Tulip St,,10,2,C,Multi-Family,Apartments,,Existing,San Diego,Central Escondido,Escondido,CA,92025-3982,,,,,,,,,,,,,3.61,,1985,,2,1,Market,,,,7339964,,Chan Crystal Jingmin,22,San Diego,,10,,,,,0,,33.1138951,-117.0899777,,0.0,,,
408-412 S Tulip St,,12,2,C,Multi-Family,Apartments,,Existing,San Diego,Central Escondido,Escondido,CA,92025,,,1042,,,,,,,,,,3.61,,1960,,2,3,Market,Edward Philbrick,Angie Young,7607984578,5007417,Edward Philbrick,Edward Philbrick,18,San Diego,,10,2,,,,0,,33.1134270,-117.0896370,,0.0,,,0.0
502-510 S Tulip St,,5,2,C,Multi-Family,Apartments,,Existing,San Diego,Central Escondido,Escondido,CA,92025,,,,,,,,,,,,,3.61,,,,2,1,Market,,,,7339965,,Billy Petross,5,San Diego,,,,,,,0,,33.1125949,-117.0893313,,,,,
528-530 S Tulip St,Tulip Apartments,10,2,C,Multi-Family,Apartments,,Existing,San Diego,Central Escondido,Escondido,CA,92025,740,2.19,1621,,,,,,,,,,3.61,,1976,,2,2,Market,,,,733544,Lucinda Hsu,HSU Consulting Services,18,San Diego,,2,8,,,,0,,33.1121848,-117.0887100,,0.0,,,0.0
723 S Tulip St,,2,1,,Multi-Family,Apartments,,Existing,San Diego,Central Escondido,Escondido,CA,92025-3938,,,,,,,,,,,,,3.61,,1952,,1,1,Market,,,,12381478,,Langley 2005 Family Trust,,San Diego,,,2,,,,0,,33.1101030,-117.0883350,,,,,0.0
1251-1253 S Tulip St,,6,2,C,Multi-Family,Apartments,,Existing,San Diego,Central Escondido,Escondido,CA,92025-5500,867,1.70,1476,,,,,,,,,,3.61,,1963,,1,,Market,,,,9646728,Robert Keilholtz,Robert G Keilholtz,12,San Diego,,,4,2,,,0,,33.1056285,-117.0852831,,,,0.0,0.0
1226-1232 S Upas St,,7,2,C,Multi-Family,Apartments,,Existing,San Diego,Central Escondido,Escondido,CA,92025,727,1.79,1299,,,,,,,,,,3.61,,1962,,1,4,Market,,,,7989816,,Thomas Stanford,6,San Diego,,,7,,,,0,,33.1053522,-117.0860738,,,,,0.0
1405 S Upas St,,7,2,C,Multi-Family,,,Existing,San Diego,Central Escondido,Escondido,CA,92025-5528,,,,5000000,,714286,HM Real Estate Services,260-C W Crest St,"Escondido, CA 92025",7604324663,,Alan Sargent,2.61,,1969,,1,,Affordable,,,,19806640,,,,San Diego,,,7,,,,0,,33.1036677,-117.0855185,,,,,0.0
1575 W Valley Pky,Ponderosa,104,2,C,Multi-Family,Manufactured Housing/Mobile Home Park,,Existing,San Diego,Felicita,Escondido,CA,92029,,,,,,,,,,,,,3.61,,2000,,1,1,,,,,4033551,,"Ponderosa Group, LP",4,San Diego,Wheelchair Accessible (Rooms),,,,,,0,,33.1078170,-117.1040880,,,,,
1440 S Escondido Blvd,Las Ventanas Village,80,3,B,Multi-Family,Apartments,Rent Restricted,Existing,San Diego,Central Escondido,Escondido,CA,92025-5783,1030,1.21,1246,,,,,,,,,,1.10,,2008,,3,3,Affordable,RMG - Las Ventanas Village,,7604329370,6160597,,Enhanced Affordable Development Co LLC,27,San Diego,"Air Conditioning, Clubhouse, Laundry Facilities, Playground, Property Manager on Site, Spa, Gameroom, On-Site Retail, Storage Space, Elevator, Multi Use Room, Deck, Patio, Recreation Room, Wheelchair Accessible (Rooms)",,2,78,,,0,,33.1082705,-117.0751234,,,,1.3,0.0
241 W 8th Ave,,6,2,C,Multi-Family,Apartments,,Existing,San Diego,Central Escondido,Escondido,CA,92025,624,0.85,529,,,,,,,,,,3.61,,1952,,1,2,Market,,,,6933997,Vasailijia Hrnjak,Bob & Vasilija Hrnjak,6,San Diego,Laundry Facilities,6,,,,,0,,33.1139991,-117.0791222,,0.0,,,
430-436 W 8th Ave,The Leotti Bldg,7,2,C,Multi-Family,Apartments,,Existing,San Diego,Central Escondido,Escondido,CA,92025-5062,,,1166,,,,,,,,,,3.61,,1974,,2,2,Market,,,,802289,David Evans,David A. Evans,8,San Diego,"Air Conditioning, Laundry Facilities",,7,,,,0,,33.1130600,-117.0821390,,,,,0.0
418 W 10th Ave,,4,3,B,Multi-Family,Apartments,,Existing,San Diego,Central Escondido,Escondido,CA,92025-5074,1250,1.84,2294,,,,,,,,,,3.61,,2007,,2,1,Market,,,,10086549,,Priscilla Thao Bui,8,San Diego,Yard,,,4,,,0,,33.1115248,-117.0806142,,,,0.0,
425 W 11th Ave,Emerald Garden Townhomes,15,1,C,Multi-Family,Apartments,Rent Restricted,Existing,San Diego,Central Escondido,Escondido,CA,92025-5000,,,,,,,,,,,,,2.61,,2000,,2,3,Affordable,Emerald Garden Townhomes,Alberto Garcia,7604808056,9468193,George Lopez,"SER Jobs For Progress, Inc.",,San Diego,Wheelchair Accessible (Rooms),,3,8,4,,0,,33.1097612,-117.0794131,0.0,,,0.0,0.0
491-499 W 11th Ave,W. 11th Avenue Apartments,9,2,C,Multi-Family,Apartments,,Existing,San Diego,Central Escondido,Escondido,CA,92025-5024,771,1.61,1242,,,,,,,,,,3.61,,,2006,1,5,Market,"R.A. Snyder Properties, Inc.",,6192970274,1564928,Nicholas Kapicki,Nicholas M Kapicki,15,San Diego,Wheelchair Accessible (Rooms),,8,1,,,0,,33.1094360,-117.0793630,,,,0.0,0.0
519-529 W 11th Ave,,6,2,C,Multi-Family,Apartments,,Existing,San Diego,Central Escondido,Escondido,CA,92025-4717,,,,,,,,,,,,,3.61,,1960,,1,2,Market,,,,839664,,Aloha 98 Llc,5,San Diego,Air Conditioning,,4,2,,,0,,33.1093760,-117.0809480,,,,0.0,0.0
102 E 13th Ave,Las Palmas,36,2,C,Multi-Family,Apartments,,Existing,San Diego,Central Escondido,Escondido,CA,92025,884,1.61,1426,,,,,,,,,,3.95,,1952,,1,5,Market,GHE - Las Palmas Apartments,,7607409485,7335588,Ross Rose,Green Harvest Enterprises,48,San Diego,Gated,3,33,,,,0,,33.1109750,-117.0745020,,0.0,,,3.0
116 W 13th Ave,Maplewood Apartments,17,2,C,Multi-Family,Apartments,,Existing,San Diego,Central Escondido,Escondido,CA,92025-5752,622,,,,,,,,,,,,3.61,,1980,,1,4,Market,,,,4214688,,Carmela Esani,23,San Diego,Laundry Facilities,14,3,,,,0,,33.1106260,-117.0747820,,7.1,,,0.0
211-231 W 13th Ave,13th Ave Apartments,8,2,C,Multi-Family,Apartments,,Existing,San Diego,Central Escondido,Escondido,CA,92025-5705,813,1.66,1348,,,,,,,,,,3.61,,1963,,1,,Market,,,,10062146,Nicholas Kapicki,Nicholas M Kapicki,,San Diego,,,6,2,,,0,,33.1096004,-117.0755697,,,,0.0,0.0
322 W 13th Ave,Windemer,16,2,C,Multi-Family,Apartments,,Existing,San Diego,Central Escondido,Escondido,CA,92025-5743,950,0.71,675,,,,,,,,,,0.66,,1971,,2,1,Market,"Logan Family Properties, Inc.",,8585781945,828200,Mark Flunker,Mark J Flunker,22,San Diego,"Fenced Lot, Laundry Facilities, Playground",,16,,,,0,,33.1094390,-117.0775910,,,,,0.0
214 W 13th St,Ironwood Villas,17,2,C,Multi-Family,Apartments,,Existing,San Diego,Central Escondido,Escondido,CA,92025,1000,1.68,1679,,,,,,,,,,3.61,,1979,,2,2,Market,GHE - Ironwood Villas,,7607401780,4033437,,Ross Rose,51,San Diego,Maintenance on site,,17,,,,0,,33.1102050,-117.0759440,,,,,5.9
101-105 E 15th Ave,,11,2,C,Multi-Family,Apartments,,Existing,San Diego,Central Escondido,Escondido,CA,92025,,,,,,,,,,,,,3.61,,1950,,1,7,Market,,,,4033788,,Mikko Jokela,14,San Diego,,,,,,,0,,33.1088210,-117.0725520,,,,,
106-126 E 15th Ave,,11,1,C,Multi-Family,Apartments,,Existing,San Diego,Central Escondido,Escondido,CA,92025-5844,,,,,,,,,,,,,3.61,,,,2,2,Market,,,,9468163,William Fredricks,Fredricks Company Inc,10,San Diego,,,,,,,0,,33.1097285,-117.0722952,,,,,
129-131 E 15th Ave,15th Avenue Apartments,9,2,C,Multi-Family,Apartments,,Existing,San Diego,Central Escondido,Escondido,CA,92025,844,1.35,1139,,,,,,,,,,0.60,,1980,,1,3,Market,Claudio & Lorenza Roma,Lorenza Roma,7607411121,5623586,Lorenza Roma,Claudio & Lorenza Roma,6,San Diego,Laundry Facilities,4,4,,,1,0,,33.1093140,-117.0714760,,0.0,0.0,,0.0
238-246 E 15th Ave,,5,3,C,Multi-Family,Apartments,,Existing,San Diego,Central Escondido,Escondido,CA,92025-5813,1040,1.82,1888,,,,,,,,,,20.67,,2000,,1,2,Market,Westview Insurance Services (Courtney Perkins),,8586381750,4368179,,"Kebrek, LLC",9,San Diego,"Air Conditioning, Wheelchair Accessible (Rooms)",,5,,,,0,,33.1105360,-117.0705280,,,,,20.0
215 W 15th Ave,,5,3,B,Multi-Family,Apartments,,Existing,San Diego,Central Escondido,Escondido,CA,92025-5713,1164,1.21,1407,,,,,,,,,,3.61,,1980,,2,1,Market,,,,10733886,Dave Plutner,Plutner Family Trust,12,San Diego,,,4,1,,,0,,33.1082975,-117.0735763,,,,0.0,0.0
215 W 15th Ave,,5,2,C,Multi-Family,Apartments,,Demolished,San Diego,Central Escondido,Escondido,CA,92025-5713,,,,,,,,,,,,,,,,,,,Market,,,,6909721,,"DFI Funding, Inc",,San Diego,,,,,,,0,,33.1082351,-117.0734497,,,,,
323 W 15th Ave,West Fifteenth Ave Apartments,22,3,C,Multi-Family,Apartments,,Existing,San Diego,Central Escondido,Escondido,CA,92025-6049,,,1778,,,,,,,,,,3.61,,1987,,2,1,Market,Constellation - West Fifteenth Ave Apartments,,6199557776,4721221,,Wendy Williams,16,San Diego,"Laundry Facilities, Gated, Recycling",18,4,,,,0,,33.1070930,-117.0757540,,5.6,,,0.0
327 W 15th Ave,Cedar Garden Apartment,20,2,C,Multi-Family,Apartments,,Existing,San Diego,Central Escondido,Escondido,CA,92025,760,1.57,1197,,,,,,,,,,0.36,,1968,,1,2,Market,Cedar Garden Apartment,Rob Ratliff,6195616574,1581641,,Philip A & Jennifer M Keller,40,San Diego,"Air Conditioning, Laundry Facilities, Security System, Spa",12,8,,,,0,,33.1069996,-117.0761852,,0.0,,,0.0
339 W 15th Ave,15th Street Apts.,14,2,C,Multi-Family,Apartments,,Existing,San Diego,Central Escondido,Escondido,CA,92025-6026,936,1.31,1226,,,,,,,,,,3.61,,1978,,2,1,Market,,,,92702,,339 W 15th Ave Llc,28,San Diego,Laundry Facilities,,8,6,,,0,,33.1064940,-117.0761300,,,,0.0,0.0
541 W 15th Ave,Greencrest Mobile Home Park,,2,C,Multi-Family,Manufactured Housing/Mobile Home Park,,Existing,San Diego,Central Escondido,Escondido,CA,92025-5623,,,,,,,,,,,,,,,1960,,1,,,,,,5498045,Kevin Thomsen,Thomsen Properties,35,San Diego,,,,,,,0,,33.1047820,-117.0783790,,,,,
1942-1944 S Broadway,,6,2,C,Multi-Family,Apartments,,Existing,San Diego,Kit Carson,Escondido,CA,92025,839,1.92,1614,,,,,,,,,,3.61,,1970,,2,2,Market,,,,4033537,Steven Ross,Ross Family Trust,11,San Diego,,5,,,1,,0,,33.1019150,-117.0670150,0.0,0.0,,,
1935-1941 S Broadway St,,8,2,C,Multi-Family,Apartments,,Existing,San Diego,Kit Carson,Escondido,CA,92025,,,,,,,,,,,,,3.61,,1962,,2,5,Market,,,,7989822,,Clayton Rempe,,San Diego,,3,4,1,,,0,,33.1018122,-117.0673907,,0.0,,0.0,0.0
304 Chestnut Ln,3 Units in Escondido,3,3,C,Multi-Family,Apartments,,Existing,San Diego,Central Escondido,Escondido,CA,92025-5202,,,,,,,,,,,,,3.61,,1960,,1,,,,,,84618,Kevin Ketteridge,Kevin & Katrina Ketteridge,3,San Diego,,1,2,,,,0,,33.1134844,-117.0707459,,0.0,,,0.0
409 Citracado Pky,,2,2,,Multi-Family,Apartments,,Existing,San Diego,Kit Carson,Escondido,CA,92025-6427,800,,,,,,,,,,,,3.61,,1942,,2,1,Market,,,,12828341,,,,San Diego,,1,,1,,,0,,33.0905533,-117.0738400,,0.0,,0.0,
440 W Citracado Pky,Bernardo Hills,16,2,C,Multi-Family,Apartments,,Existing,San Diego,Kit Carson,Escondido,CA,92025-6468,,,,,,,,,,,,,3.61,,,,2,9,Market,,,,5490198,,Martha C Saine,32,San Diego,,,,,,,0,,33.0922010,-117.0742560,,,,,
205-207 W Eleventh St,,5,2,C,Multi-Family,Apartments,,Existing,San Diego,Central Escondido,Escondido,CA,92025,,,,,,,,,,,,,3.61,,,,1,5,Market,,,,4216242,Klementyna Newkirk,Klementyna S Newkirk Trust,14,San Diego,,,,,,,0,,33.1116330,-117.0765240,,,,,
1111-1115 S Escondido Blvd,Econdido Cottages,15,2,C,Multi-Family,Apartments,,Existing,San Diego,Central Escondido,Escondido,CA,92025-5719,597,,,,,,,,,,,,3.61,,1957,,1,10,Market,Vista International - Econdido Cottages,,6197565858,9575419,,"Vista International, Inc.",15,San Diego,,11,3,1,,,0,,33.1105690,-117.0776310,,0.0,,0.0,0.0
1214 S Escondido Blvd,,12,2,C,Multi-Family,Apartments,,Existing,San Diego,Central Escondido,Escondido,CA,92025,,,,,,,,,,,,,3.61,,,,1,4,Market,,,,7331256,,Robert Kovalsky,12,San Diego,,,,,,,0,,33.1101400,-117.0763780,,,,,
1350 S Escondido Blvd,Escondido Palms Studio Apartments,14,2,C,Multi-Family,Apartments,,Existing,San Diego,Central Escondido,Escondido,CA,92025-5736,,,647,,,,,,,,,,3.61,,1968,,1,2,Market,Sunrise Management - Escondido Palms Studio,,,5497982,,Brian & Melissa Rogers,8,San Diego,"24 Hour Access, Air Conditioning, Laundry Facilities",,,,,14,0,,33.1089870,-117.0756120,,,7.1,,
1540 S Escondido Blvd,Adobe Villa,13,2,C,Multi-Family,Apartments,,Existing,San Diego,Central Escondido,Escondido,CA,92025-6048,,,,,,,,,,,,,3.61,,1945,,1,3,Market,,,,4033994,,Vvsd Escondido Llc,15,San Diego,,,,,,,0,,33.1077369,-117.0741238,,,,,
1553-1557 S Escondido Blvd,Via Roble Apartments,87,3,B,Multi-Family,Apartments,Rent Restricted,Existing,San Diego,Central Escondido,Escondido,CA,92025-6041,930,1.37,1273,,,,,,,,,,1.20,,2000,,3,3,Market/Affordable,The John Stewart Company,Maria Vogt,7604329212,5491148,,Trinity Housing Group Inc,200,San Diego,"Air Conditioning, Clubhouse, Fitness Center, Laundry Facilities, Playground, Wheelchair Accessible (Rooms)",18,42,27,,,0,,33.1066580,-117.0754920,,0.0,,0.0,2.4
1556 S Escondido Blvd,Veterans Village,54,4,A,Multi-Family,Apartments,Rent Restricted,Existing,San Diego,Central Escondido,Escondido,CA,92025-6017,,,,,,,,,,,,,,3,2020,,3,1,Affordable,Veterans Village Of San Diego,,7607457829,9714967,,Pacific Southwest Community Development Corp.,66,San Diego,,11,37,6,,,0,,33.1070937,-117.0742635,,,,,
1596 S Escondido Blvd,,9,2,C,Multi-Family,Apartments,,Existing,San Diego,Central Escondido,Escondido,CA,92025-6017,,,,,,,,,,,,,3.61,,,,1,4,Market,,,,4213542,,Jose & Maria I Carranza,8,San Diego,,,,,,,0,,33.1065330,-117.0739500,,,,,
1656-1668 S Escondido Blvd,,5,1,C,Multi-Family,Apartments,,Existing,San Diego,Central Escondido,Escondido,CA,92025-6019,,,,,,,,,,,,,3.61,,1945,,1,4,Market,,,,9472993,Edward Davis,Edward C Davis,5,San Diego,,,,,,,0,,33.1055235,-117.0729895,,,,,
2035 S Escondido Blvd,Creekside Village Apartments,83,3,B,Multi-Family,Apartments,,Existing,San Diego,Kit Carson,Escondido,CA,92025-8213,911,2.81,2557,,,,,,,,,,4.32,,1985,,2,6,Market,Creekside Village Apartments,,7607459911,92809,Al Malouf Assad,"Hanken Cono Assad & Co., Inc.",140,San Diego,"Air Conditioning, Laundry Facilities, Pool, Spa, Corporate Suites, Grill, Deck, Patio",12,68,3,,,0,,33.0989200,-117.0709230,,8.3,,0.0,4.4
2100 S Escondido Blvd,Canyon Crest Estates,88,2,C,Multi-Family,Manufactured Housing/Mobile Home Park,,Existing,San Diego,Kit Carson,Escondido,CA,92025-7026,,,,,,,,,,,,,3.61,,1971,,1,1,,,,,5489959,Robert Kleege,Robert B & Brenda Kleege,50,San Diego,,88,,,,,0,,33.0961380,-117.0691020,,3.4,,,
2414 S Escondido Blvd,Haven76 Apartments,76,3,B,Multi-Family,Apartments,Rent Restricted,Existing,San Diego,Kit Carson,Escondido,CA,92025-7070,961,2.85,2744,,,,,,,,,,2.64,6,2016,,3,4,Affordable,Greystar - Haven76 Apartments,,7602620276,9887957,Jon Penkower,CA Statewide Communities Development Authority,141,San Diego,"Business Center, Clubhouse, Fitness Center, Pool, Spa, Cabana, Grill, Lounge, Pet Washing Station, Patio",36,34,6,,,0,,33.0922549,-117.0718476,,2.8,,0.0,2.9
111 E Felicita Ave,,9,2,C,Multi-Family,Apartments,,Existing,San Diego,Kit Carson,Escondido,CA,92025,996,,,,,,,,,,,,3.61,,,,1,1,Market,,,,4395243,,William Viera,32,San Diego,,1,7,1,,,0,,33.1055590,-117.0696050,,0.0,,0.0,0.0
215 E Felicita Ave,Felicita Gardens,6,2,C,Multi-Family,Apartments,,Existing,San Diego,Kit Carson,Escondido,CA,92025,,,,,,,,,,,,,3.61,,,,2,2,Market,,,,7348740,,Eric D Trunk,12,San Diego,,,,,,,0,,33.1060980,-117.0692840,,,,,
326 E Felicita Ave,Plaza Apartments,62,2,C,Multi-Family,Apartments,,Existing,San Diego,Central Escondido,Escondido,CA,92025,1077,1.83,1974,,,,,,,,,,0.00,,1978,,2,4,Market,GHE - Plaza Felicita Apartments,,7607478190,4032569,,Green Harvest Enterprises,110,San Diego,"24 Hour Access, Air Conditioning, Laundry Facilities, Pool, Tenant Controlled HVAC, Window Coverings, Individual Leases Available",,46,16,,,0,,33.1072560,-117.0685280,,,,0.0,0.0
145 W Felicita Ave,,6,2,C,Multi-Family,Apartments,,Existing,San Diego,Kit Carson,Escondido,CA,92025,942,,,,,,,,,,,,3.61,,1988,,2,1,Market,,,,4034166,,Habib Living Trust,16,San Diego,,1,,5,,,0,,33.1051760,-117.0712380,,0.0,,0.0,
355 Idaho Ave,,8,2,C,Multi-Family,Apartments,,Existing,San Diego,Central Escondido,Escondido,CA,92025,850,1.42,1210,,,,,,,,,,3.61,,1981,,2,1,Market,,,,4466805,Shahriar Ravari,Shahriar Ravari,15,San Diego,Air Conditioning,,8,,,,0,,33.1106510,-117.0679950,,,,,0.0
363-373 Idaho Ave,,6,2,C,Multi-Family,Apartments,,Existing,San Diego,Central Escondido,Escondido,CA,92025-5221,600,2.44,1462,,,,,,,,,,3.61,,,,1,2,Market,,,,4334724,Richard VandeNoord,Richard VandeNoord,6,San Diego,Air Conditioning,,6,,,,0,,33.1102530,-117.0677750,,,,,0.0
401-407 Idaho Ave,,4,3,C,Multi-Family,Apartments,,Existing,San Diego,Central Escondido,Escondido,CA,92025-5223,,,,,,,,,,,,,3.61,,1962,,1,3,Market,,,,12617444,,1 K Ventures Llc,8,San Diego,,,4,,,,0,,33.1105800,-117.0673100,,,,,0.0
1304-1314 S Juniper St,Juniper Commons,10,2,C,Multi-Family,Apartments,,Existing,San Diego,Central Escondido,Escondido,CA,92025-5827,1022,1.22,1244,,,,,,,,,,3.61,,1968,,1,4,Market,Gobar -1304-1314 Juniper,,,7345993,Brett Gobar,P.S. BDG Trust,12,San Diego,,1,9,,,,0,,33.1120610,-117.0700490,,0.0,,,0.0
1309 S Juniper St,,5,1,C,Multi-Family,Apartments,,Existing,San Diego,Central Escondido,Escondido,CA,92025-5849,960,1.88,1806,,,,,,,,,,3.61,,1971,,1,2,Market,,,,9473074,Lucinda Hsu,HSU Consulting Services,15,San Diego,,,5,,,,0,,33.1114938,-117.0711504,,,,,0.0
1320-1330 S Juniper St,,6,2,C,Multi-Family,Apartments,,Existing,San Diego,Central Escondido,Escondido,CA,92025-5827,1050,2.47,2595,,,,,,,,,,0.36,,1958,,1,1,Market,Gobar - 1320-1330 Juniper,,7608459312,4115129,Brett Gobar,Loco Viento Trust 4/4/14,5,San Diego,Air Conditioning,,6,,,,0,,33.1119220,-117.0700270,,,,,0.0
1426-1432 S Juniper St,,6,2,C,Multi-Family,Apartments,,Existing,San Diego,Central Escondido,Escondido,CA,92025-5858,,,1235,,,,,,,,,,3.61,,1968,,2,4,Market,,,,4505399,,Jethro k & Debra L Hudgins,16,San Diego,Air Conditioning,,6,,,,0,,33.1116060,-117.0697520,,,,,0.0
1434-1444 S Juniper St,,7,1,C,Multi-Family,Apartments,,Existing,San Diego,Central Escondido,Escondido,CA,92025-5829,921,,,,,,,,,,,,3.61,,,,1,3,Market,Gary Smith,Gary Smith,7607463257,9471994,Gary Smith,Gary Smith,12,San Diego,,,2,,,5,0,,33.1112424,-117.0696066,,,0.0,,0.0
1550-1568 S Juniper St,Mocha,30,2,C,Multi-Family,Apartments,,Existing,San Diego,Central Escondido,Escondido,CA,92025-5851,798,3.12,2493,,,,,,,,,,2.54,,1979,,2,11,Market,F&F - Mocha,,6195013222,9468720,Dan Feder,F&F Income Properties,,San Diego,,10,20,,,,0,,33.1097147,-117.0684102,,0.0,,,5.0
1580 S Juniper St,Latte,49,2,C,Multi-Family,Apartments,,Existing,San Diego,Central Escondido,Escondido,CA,92025-5832,783,2.58,1982,,,,,,,,,,4.77,,1973,,2,5,Market,F&F - Latte,,4422488325,7348743,Dan Feder,F&F Income Properties,129,San Diego,"Air Conditioning, Laundry Facilities, Storage Space",1,24,6,,18,0,,33.1089915,-117.0691378,,0.0,5.6,0.0,4.2
1630 S Juniper St,,4,2,C,Multi-Family,Apartments,,Existing,San Diego,Central Escondido,Escondido,CA,92025-6112,975,,,,,,,,,,,,3.61,,1986,2023,2,1,Market,,,,14600172,Harmeet Grewal,Harmeet Grewal,,San Diego,Island Kitchen,,3,1,,,0,,33.1082467,-117.0675943,,,,0.0,0.0
1644-1660 S Juniper St,,6,1,C,Multi-Family,Apartments,,Existing,San Diego,Central Escondido,Escondido,CA,92025-6112,,,,,,,,,,,,,3.61,,,,1,2,Market,,,,9472165,Jeramiah Jennings,Jeramiah J Jennings,5,San Diego,,,,,,,0,,33.1082344,-117.0686170,,,,,
1701 S Juniper St,Juniper Garden Apartments,27,2,C,Multi-Family,Apartments,,Existing,San Diego,Kit Carson,Escondido,CA,92025,900,,2758,,,,,,,,,,3.61,,,,1,1,Market,F&F - Juniper Garden Apartments,,7607430077,4763083,,F&F Income Properties,96,San Diego,Property Manager on Site,,27,,,,0,,33.1063460,-117.0687530,,,,,3.7
1535 S Maple St,,6,2,C,Multi-Family,Apartments,,Existing,San Diego,Central Escondido,Escondido,CA,92025,1000,1.18,1178,,,,,,,,,,0.58,,1980,,2,2,Market,,,,4319149,Michael Daniels,Michael Daniels,24,San Diego,,,6,,,,0,,33.1073480,-117.0735670,,,,,0.0
927 S Maple St,,4,2,,Multi-Family,,,Existing,San Diego,Central Escondido,Escondido,CA,92025-5012,514,,,,,,,,,,,,3.61,,1925,,1,,,,,,10938994,,James J Ederer,6,San Diego,,3,1,,,,0,,33.1130143,-117.0775651,,0.0,,,0.0
1202-1212 S Maple St,,6,2,C,Multi-Family,Apartments,,Existing,San Diego,Central Escondido,Escondido,CA,92025-5726,,,,,,,,,,,,,3.61,,,,1,4,Market,,,,4702110,,Gerald Adams,20,San Diego,Air Conditioning,,,,,,0,,33.1110980,-117.0756160,,,,,
1203 S Maple St,,6,1,C,Multi-Family,Apartments,,Existing,San Diego,Central Escondido,Escondido,CA,92025-5767,,,,,,,,,,,,,3.61,,1991,,1,6,Market,Community HousingWorks,,7604326878,9472138,,Community HousingWorks,6,San Diego,,6,,,,,0,,33.1107480,-117.0760890,,0.0,,,
1315-1319 S Maple St,,6,2,C,Multi-Family,Apartments,,Existing,San Diego,Central Escondido,Escondido,CA,92025-5727,,,1255,,,,,,,,,,3.61,,,,2,1,Market,,,,4288289,,Perera Maple Ca Realty Llc,21,San Diego,"Air Conditioning, Laundry Facilities",2,4,,,,0,,33.1098530,-117.0752740,,0.0,,,0.0
1351-1353 S Maple St,Maplewood Villas,15,2,C,Multi-Family,Apartments,,Existing,San Diego,Central Escondido,Escondido,CA,92025-5763,988,1.54,1526,,,,,,,,,,1.83,,1972,,2,2,Market,GHE - Maplewood Villas,,7607455137,4033340,Ross Rose,Ross G  Rose,20,San Diego,"Air Conditioning, Laundry Facilities, Tenant Controlled HVAC, Window Coverings, Individual Leases Available",4,9,2,,,0,,33.1093650,-117.0751860,,0.0,,0.0,0.0
1520 S Maple St,,4,3,B,Multi-Family,Apartments,,Existing,San Diego,Central Escondido,Escondido,CA,92025,1400,1.41,1968,,,,,,,,,,3.61,,1972,,2,1,Market,,,,9998789,,Plutner Family Trust,8,San Diego,,,4,,,,0,,33.1080542,-117.0733446,,,,,0.0
1525-1527 S Maple St,,6,2,C,Multi-Family,Apartments,,Existing,San Diego,Central Escondido,Escondido,CA,92025,,,,,,,,,,,,,3.61,,,,2,2,Market,,,,9998792,,,12,San Diego,,,,,,,0,,33.1076140,-117.0737770,,,,,
1530-1542 S Maple St,,12,2,C,Multi-Family,Apartments,,Existing,San Diego,Central Escondido,Escondido,CA,92025,,,,,,,,,,,,,3.61,,,,2,3,Market,,,,9998787,,Padmanabha I  Venkitakrishnan,12,San Diego,,,,,,,0,,33.1076690,-117.0728910,,,,,
1605 S Maple St,,6,2,C,Multi-Family,Apartments,,Existing,San Diego,Central Escondido,Escondido,CA,92025-6040,1000,,,,,,,,,,,,0.66,,1988,,1,1,Market,Jensen & Associates,Jon Jensen,7607437966,9471187,Jon Jensen,Jensen & Associates,14,San Diego,,,6,,,,0,,33.1065282,-117.0729693,,,,,0.0
1625 S Maple St,,8,3,B,Multi-Family,Apartments,,Existing,San Diego,Central Escondido,Escondido,CA,92025-6053,1100,,,,,,,,,,,,0.39,,1989,,2,2,Market,Pioneer Management Co.,Tom Conkey,7607268832,4305011,Romualdo Albano,Romualdo Albano,16,San Diego,Air Conditioning,,4,4,,,0,,33.1060040,-117.0725430,,,,0.0,0.0
1630 S Maple St,,8,2,C,Multi-Family,Apartments,,Existing,San Diego,Central Escondido,Escondido,CA,92025,,,,,,,,,,,,,3.61,,,,2,2,Market,,,,6729375,Susan Couveau,Susan C Couveau,8,San Diego,,,,,,,0,,33.1065180,-117.0721820,,,,,
